No,Invoice Number,Invoice Date,Invoice Status,Customer Name,GST Treatment,Place of Supply,PurchaseOrder,Payment Terms,Payment Terms Label,Due Date,Expected Payment Date,Sales person,Currency Code,Account,Item Name,SKU,Item Type,HSN/SAC,Quantity,Usage unit,Item Price,Item Tax Exemption Reason,Is Inclusive Tax,Item Tax,Item Tax Type,Item Tax %,Shipping Charge,Shipping Charge Tax ID,Shipping Charge Tax Name,Shipping Charge Tax %,Shipping Charge Tax Type,Shipping Charge SAC Code,Adjustment,Adjustment Description,PayPal,Razorpay,Partial Payments,Template Name,Notes
2,SMN/2024-25/1308,2024-08-19,DRAFT,Dummy Customer,consumer,,408306,-3,Due end of next Month,,,Gramiyum Chennai,INR,Sales,Coconut oil cold pressed/ Nariyal Tel,COOI5000,goods,,5,,330,,TRUE,,Tax Group,5,,,GST18,18,Tax Group,996812,,,FALSE,FALSE,FALSE,Spreadsheet Template,
3,SMN/2024-25/1308,2024-08-19,DRAFT,Dummy Customer,consumer,,408306,-3,Due end of next Month,,,Gramiyum Chennai,INR,Sales,Coconut oil cold pressed/ Nariyal Tel,COOI1000,goods,,1,,350,,TRUE,,Tax Group,5,,,GST18,18,Tax Group,996812,,,FALSE,FALSE,FALSE,Spreadsheet Template,
4,SMN/2024-25/1308,2024-08-19,DRAFT,Dummy Customer,consumer,,408306,-3,Due end of next Month,,,Gramiyum Chennai,INR,Sales,Castor Oil (Cold Pressed) - 1 Litre,CASO1000,goods,,1,,420,,TRUE,,Tax Group,5,,,GST18,18,Tax Group,996812,,,FALSE,FALSE,FALSE,Spreadsheet Template,
5,SMN/2024-25/1309,2024-08-19,DRAFT,Dummy Customer,consumer,,408315,-3,Due end of next Month,,,Gramiyum Chennai,INR,Sales,Pure cow ghee - 500 ml,PUGH0500,goods,,4,,470,,TRUE,,Tax Group,12,,,GST18,18,Tax Group,996812,,,FALSE,FALSE,FALSE,Spreadsheet Template,
6,SMN/2024-25/1309,2024-08-19,DRAFT,Dummy Customer,consumer,,408315,-3,Due end of next Month,,,Gramiyum Chennai,INR,Sales,Groundnut Oil (Cold Pressed),GROI1000,goods,,2,,320,,TRUE,,Tax Group,5,,,GST18,18,Tax Group,996812,,,FALSE,FALSE,FALSE,Spreadsheet Template,
7,SMN/2024-25/1310,2024-08-19,DRAFT,Dummy Customer,consumer,,408319,-3,Due end of next Month,,,Gramiyum Chennai,INR,Sales,Coconut oil cold pressed/ Nariyal Tel,COOI2000,goods,,4,,318.25,,TRUE,,Tax Group,5,,,GST18,18,Tax Group,996812,,,FALSE,FALSE,FALSE,Spreadsheet Template,
8,SMN/2024-25/1310,2024-08-19,DRAFT,Dummy Customer,consumer,,408319,-3,Due end of next Month,,,Gramiyum Chennai,INR,Sales,Nendran banana Chips (Fried in coconut oil),NEBC0500,goods,,2,,106.875,,TRUE,,Tax Group,12,,,GST18,18,Tax Group,996812,,,FALSE,FALSE,FALSE,Spreadsheet Template,
9,SMN/2024-25/1311,2024-08-19,DRAFT,Dummy Customer,consumer,,408328,-3,Due end of next Month,,,Gramiyum Chennai,INR,Sales,Groundnut Oil (Cold Pressed),GROI1000,goods,,2,,304,,TRUE,,Tax Group,5,,,GST18,18,Tax Group,996812,,,FALSE,FALSE,FALSE,Spreadsheet Template,
10,SMN/2024-25/1311,2024-08-19,DRAFT,Dummy Customer,consumer,,408328,-3,Due end of next Month,,,Gramiyum Chennai,INR,Sales,Sesame / Gingelly / Til Oil (Cold Pressed),SEOI3000,goods,,3,,432.25,,TRUE,,Tax Group,5,,,GST18,18,Tax Group,996812,,,FALSE,FALSE,FALSE,Spreadsheet Template,
11,SMN/2024-25/1312,2024-08-19,DRAFT,Dummy Customer,consumer,,408329,-3,Due end of next Month,,,Gramiyum Chennai,INR,Sales,Sesame / Gingelly / Til Oil (Cold Pressed),SEOI2000,goods,,2,,441.75,,TRUE,,Tax Group,5,,,GST18,18,Tax Group,996812,,,FALSE,FALSE,FALSE,Spreadsheet Template,
