No,Invoice Number,Invoice Date,Invoice Status,Customer Name,GST Treatment,Place of Supply,PurchaseOrder,Payment Terms,Payment Terms Label,Due Date,Expected Payment Date,Sales person,Currency Code,Account,Item Name,SKU,Item Type,HSN/SAC,Quantity,Usage unit,Item Price,Item Tax Exemption Reason,Is Inclusive Tax,Item Tax,Item Tax Type,Item Tax %,Shipping Charge,Shipping Charge Tax ID,Shipping Charge Tax Name,Shipping Charge Tax %,Shipping Charge Tax Type,Shipping Charge SAC Code,Adjustment,Adjustment Description,PayPal,Razorpay,Partial Payments,Template Name,Notes
2,SMN/2025-26/1573,2025-09-08,DRAFT,Dummy Customer,consumer,,435220,-3,Due end of next Month,,,Gramiyum Chennai,INR,Sales,Nendran banana Chips (Fried in coconut oil),NEBC0250,goods,,2,,160,,TRUE,,Tax Group,12,,,GST18,18,Tax Group,996812,,,FALSE,FALSE,FALSE,Spreadsheet Template,
3,SMN/2025-26/1573,2025-09-08,DRAFT,Dummy Customer,consumer,,435220,-3,Due end of next Month,,,Gramiyum Chennai,INR,Sales,Mixed Millet Cookies - Siruthaniyam Cookies (Pack of 10),MMCO0100,goods,,1,,50,,TRUE,,Tax Group,5,,,GST18,18,Tax Group,996812,,,FALSE,FALSE,FALSE,Spreadsheet Template,
4,SMN/2025-26/1573,2025-09-08,DRAFT,Dummy Customer,consumer,,435220,-3,Due end of next Month,,,Gramiyum Chennai,INR,Sales,Ribbon Pakoda - 150gms,RIBPK0150,goods,,1,,75,,TRUE,,Tax Group,12,,,GST18,18,Tax Group,996812,,,FALSE,FALSE,FALSE,Spreadsheet Template,
5,SMN/2025-26/1573,2025-09-08,DRAFT,Dummy Customer,consumer,,435220,-3,Due end of next Month,,,Gramiyum Chennai,INR,Sales,Adirasam - Homestyle | 200 gms,ADHS0200,goods,,1,,85,,TRUE,,Tax Group,12,,,GST18,18,Tax Group,996812,,,FALSE,FALSE,FALSE,Spreadsheet Template,
6,SMN/2025-26/1573,2025-09-08,DRAFT,Dummy Customer,consumer,,435220,-3,Due end of next Month,,,Gramiyum Chennai,INR,Sales,Groundnut Oil (Cold Pressed),GROI1000,goods,,5,,312,,TRUE,,Tax Group,5,,,GST18,18,Tax Group,996812,,,FALSE,FALSE,FALSE,Spreadsheet Template,
7,SMN/2025-26/1573,2025-09-08,DRAFT,Dummy Customer,consumer,,435220,-3,Due end of next Month,,,Gramiyum Chennai,INR,Sales,Mixed Millet Noodles  Sirudhaniya Noodles - 175 Gms,MMNO0175,goods,,1,,68,,TRUE,,Tax Group,12,,,GST18,18,Tax Group,996812,,,FALSE,FALSE,FALSE,Spreadsheet Template,
8,SMN/2025-26/1573,2025-09-08,DRAFT,Dummy Customer,consumer,,435220,-3,Due end of next Month,,,Gramiyum Chennai,INR,Sales,Thinai Cookies - Fox Tail Cookies (Pack of 10),THCO0100,goods,,1,,50,,TRUE,,Tax Group,5,,,GST18,18,Tax Group,996812,,,FALSE,FALSE,FALSE,Spreadsheet Template,
9,SMN/2025-26/1573,2025-09-08,DRAFT,Dummy Customer,consumer,,435220,-3,Due end of next Month,,,Gramiyum Chennai,INR,Sales,Sattur Garlic Seeval - 200 gms,SAGS0200,goods,,1,,85,,TRUE,,Tax Group,12,,,GST18,18,Tax Group,996812,,,FALSE,FALSE,FALSE,Spreadsheet Template,
10,SMN/2025-26/1573,2025-09-08,DRAFT,Dummy Customer,consumer,,435220,-3,Due end of next Month,,,Gramiyum Chennai,INR,Sales,Angaya Powder / Angaya Podi - 100 gms,ANGA0100,goods,,1,,95,,TRUE,,Tax Group,5,,,GST18,18,Tax Group,996812,,,FALSE,FALSE,FALSE,Spreadsheet Template,
11,SMN/2025-26/1574,2025-09-08,DRAFT,Dummy Customer,consumer,,435241,-3,Due end of next Month,,,Gramiyum Chennai,INR,Sales,Sesame / Gingelly / Til Oil (Cold Pressed),SEOI1000,goods,,2,,465,,TRUE,,Tax Group,5,,,GST18,18,Tax Group,996812,,,FALSE,FALSE,FALSE,Spreadsheet Template,
12,SMN/2025-26/1575,2025-09-08,DRAFT,Dummy Customer,consumer,,435244,-3,Due end of next Month,,,Gramiyum Chennai,INR,Sales,Groundnut Oil (Cold Pressed),GROI1000,goods,,2,,320,,TRUE,,Tax Group,5,,,GST18,18,Tax Group,996812,,,FALSE,FALSE,FALSE,Spreadsheet Template,
13,SMN/2025-26/1575,2025-09-08,DRAFT,Dummy Customer,consumer,,435244,-3,Due end of next Month,,,Gramiyum Chennai,INR,Sales,Puli - Tamarind (500 gms),PULI0500,goods,,1,,125,,TRUE,,Tax Group,5,,,GST18,18,Tax Group,996812,,,FALSE,FALSE,FALSE,Spreadsheet Template,
14,SMN/2025-26/1575,2025-09-08,DRAFT,Dummy Customer,consumer,,435244,-3,Due end of next Month,,,Gramiyum Chennai,INR,Sales,Malai Kadugu - Hill Mustard Seeds,MUST0200,goods,,1,,45,,TRUE,,Tax Group,5,,,GST18,18,Tax Group,996812,,,FALSE,FALSE,FALSE,Spreadsheet Template,
15,SMN/2025-26/1575,2025-09-08,DRAFT,Dummy Customer,consumer,,435244,-3,Due end of next Month,,,Gramiyum Chennai,INR,Sales,Roasted Bengal Dal / Udachakadalai / Fried Gram Dal 400gms,RBDAL400,goods,,1,,80,,TRUE,,Tax Group,5,,,GST18,18,Tax Group,996812,,,FALSE,FALSE,FALSE,Spreadsheet Template,
16,SMN/2025-26/1575,2025-09-08,DRAFT,Dummy Customer,consumer,,435244,-3,Due end of next Month,,,Gramiyum Chennai,INR,Sales,Natural turmeric powder - 150 Gms,NTURP150,goods,,1,,90,,TRUE,,Tax Group,5,,,GST18,18,Tax Group,996812,,,FALSE,FALSE,FALSE,Spreadsheet Template,
17,SMN/2025-26/1575,2025-09-08,DRAFT,Dummy Customer,consumer,,435244,-3,Due end of next Month,,,Gramiyum Chennai,INR,Sales,Hing Powder / Perungayam Thool / Asafoetida - 50 gms,HINGPO50,goods,,1,,80,,TRUE,,Tax Group,5,,,GST18,18,Tax Group,996812,,,FALSE,FALSE,FALSE,Spreadsheet Template,
18,SMN/2025-26/1575,2025-09-08,DRAFT,Dummy Customer,consumer,,435244,-3,Due end of next Month,,,Gramiyum Chennai,INR,Sales,Sukku powder - Dry Ginger Powder 100gms,SPDGP100,goods,,1,,125,,TRUE,,Tax Group,5,,,GST18,18,Tax Group,996812,,,FALSE,FALSE,FALSE,Spreadsheet Template,
19,SMN/2025-26/1575,2025-09-08,DRAFT,Dummy Customer,consumer,,435244,-3,Due end of next Month,,,Gramiyum Chennai,INR,Sales,Sesame / Gingelly / Til Oil (Cold Pressed),SEOI1000,goods,,2,,470,,TRUE,,Tax Group,5,,,GST18,18,Tax Group,996812,,,FALSE,FALSE,FALSE,Spreadsheet Template,
20,SMN/2025-26/1575,2025-09-08,DRAFT,Dummy Customer,consumer,,435244,-3,Due end of next Month,,,Gramiyum Chennai,INR,Sales,Seeraga Samba Rice,SSRI0500,goods,,1,,80,,TRUE,,Tax Group,5,,,GST18,18,Tax Group,996812,,,FALSE,FALSE,FALSE,Spreadsheet Template,
21,SMN/2025-26/1575,2025-09-08,DRAFT,Dummy Customer,consumer,,435244,-3,Due end of next Month,,,Gramiyum Chennai,INR,Sales,Paasi Paruppu | Moong Dhal - 500 gms,MODAL500,goods,,1,,90,,TRUE,,Tax Group,5,,,GST18,18,Tax Group,996812,,,FALSE,FALSE,FALSE,Spreadsheet Template,
22,SMN/2025-26/1576,2025-09-08,DRAFT,Dummy Customer,consumer,,435245,-3,Due end of next Month,,,Gramiyum Chennai,INR,Sales,Groundnut Oil (Cold Pressed),GROI1000,goods,,2,,320,,TRUE,,Tax Group,5,,,GST18,18,Tax Group,996812,,,FALSE,FALSE,FALSE,Spreadsheet Template,
23,SMN/2025-26/1577,2025-09-08,DRAFT,Dummy Customer,consumer,,435246,-3,Due end of next Month,,,Gramiyum Chennai,INR,Sales,Groundnut Oil (Cold Pressed),GROI1000,goods,,3,,320,,TRUE,,Tax Group,5,,,GST18,18,Tax Group,996812,,,FALSE,FALSE,FALSE,Spreadsheet Template,
24,SMN/2025-26/1577,2025-09-08,DRAFT,Dummy Customer,consumer,,435246,-3,Due end of next Month,,,Gramiyum Chennai,INR,Sales,Sesame / Gingelly / Til Oil (Cold Pressed),SEOI1000,goods,,3,,470,,TRUE,,Tax Group,5,,,GST18,18,Tax Group,996812,,,FALSE,FALSE,FALSE,Spreadsheet Template,
